Variable,Date,Price
GDA_TETSTX,2018-11-30,4.44
GDA_TETSTX,2018-11-29,4.35
GDA_TETSTX,2018-11-28,4.16
GDA_TETSTX,2018-11-27,4.205
GDA_TETSTX,2018-11-26,4.54
GDA_TETSTX,2018-11-25,4.54
GDA_TETSTX,2018-11-24,4.54
GDA_TETSTX,2018-11-23,4.54
GDA_TETSTX,2018-11-22,4.54
GDA_TETSTX,2018-11-21,4.495
GDA_TETSTX,2018-11-20,4.535
GDA_TETSTX,2018-11-19,4.2
GDA_TETSTX,2018-11-18,4.2
GDA_TETSTX,2018-11-17,4.2
GDA_TETSTX,2018-11-16,4.385
GDA_TETSTX,2018-11-15,4.53
GDA_TETSTX,2018-11-14,4.015
GDA_TETSTX,2018-11-13,3.975
GDA_TETSTX,2018-11-12,3.77
GDA_TETSTX,2018-11-11,3.77
GDA_TETSTX,2018-11-10,3.77
GDA_TETSTX,2018-11-09,3.665
GDA_TETSTX,2018-11-08,3.625
GDA_TETSTX,2018-11-07,3.53
GDA_TETSTX,2018-11-06,3.46
GDA_TETSTX,2018-11-05,3.13
GDA_TETSTX,2018-11-04,3.13
GDA_TETSTX,2018-11-03,3.13
GDA_TETSTX,2018-11-02,3.22
GDA_TETSTX,2018-11-01,3.2
GDA_TETSTX,2018-10-31,3.18
GDA_TETSTX,2018-10-30,3.14
GDA_TETSTX,2018-10-29,3.14
GDA_TETSTX,2018-10-28,3.14
GDA_TETSTX,2018-10-27,3.14
GDA_TETSTX,2018-10-26,3.27
GDA_TETSTX,2018-10-25,3.355
GDA_TETSTX,2018-10-24,3.3
GDA_TETSTX,2018-10-23,3.26
GDA_TETSTX,2018-10-22,3.345
GDA_TETSTX,2018-10-21,3.345
GDA_TETSTX,2018-10-20,3.345
GDA_TETSTX,2018-10-19,3.295
GDA_TETSTX,2018-10-18,3.38
GDA_TETSTX,2018-10-17,3.31
GDA_TETSTX,2018-10-16,3.34
GDA_TETSTX,2018-10-15,3.19
GDA_TETSTX,2018-10-14,3.19
GDA_TETSTX,2018-10-13,3.19
GDA_TETSTX,2018-10-12,3.15
GDA_TETSTX,2018-10-11,3.355
GDA_TETSTX,2018-10-10,3.37
GDA_TETSTX,2018-10-09,3.37
GDA_TETSTX,2018-10-08,3.185
GDA_TETSTX,2018-10-07,3.185
GDA_TETSTX,2018-10-06,3.185
GDA_TETSTX,2018-10-05,3.26
GDA_TETSTX,2018-10-04,3.255
GDA_TETSTX,2018-10-03,3.215
GDA_TETSTX,2018-10-02,3.145
GDA_TETSTX,2018-10-01,3.035
GDA_TETSTX,2018-09-30,3.04
GDA_TETSTX,2018-09-29,3.04
GDA_TETSTX,2018-09-28,3.04
GDA_TETSTX,2018-09-27,3.105
GDA_TETSTX,2018-09-26,3.06
GDA_TETSTX,2018-09-25,3.07
GDA_TETSTX,2018-09-24,3.075
GDA_TETSTX,2018-09-23,3.075
GDA_TETSTX,2018-09-22,3.075
GDA_TETSTX,2018-09-21,3.02
GDA_TETSTX,2018-09-20,3.02
GDA_TETSTX,2018-09-19,2.98
GDA_TETSTX,2018-09-18,2.94
GDA_TETSTX,2018-09-17,2.84
GDA_TETSTX,2018-09-16,2.84
GDA_TETSTX,2018-09-15,2.84
GDA_TETSTX,2018-09-14,2.87
GDA_TETSTX,2018-09-13,2.875
GDA_TETSTX,2018-09-12,2.825
GDA_TETSTX,2018-09-11,2.85
GDA_TETSTX,2018-09-10,2.8
GDA_TETSTX,2018-09-09,2.8
GDA_TETSTX,2018-09-08,2.8
GDA_TETSTX,2018-09-07,2.845
GDA_TETSTX,2018-09-06,2.845
GDA_TETSTX,2018-09-05,2.935
GDA_TETSTX,2018-09-04,2.975
GDA_TETSTX,2018-09-03,2.975
GDA_TETSTX,2018-09-02,2.975
GDA_TETSTX,2018-09-01,2.975
GDA_TETSTX,2018-08-31,2.86
GDA_TETSTX,2018-08-30,2.905
GDA_TETSTX,2018-08-29,2.91
GDA_TETSTX,2018-08-28,2.97
GDA_TETSTX,2018-08-27,2.965
GDA_TETSTX,2018-08-26,2.965
GDA_TETSTX,2018-08-25,2.965
GDA_TETSTX,2018-08-24,2.97
GDA_TETSTX,2018-08-23,3.025
GDA_TETSTX,2018-08-22,3.035
GDA_TETSTX,2018-08-21,3.015
GDA_TETSTX,2018-08-20,3.005
GDA_TETSTX,2018-08-19,3.005
GDA_TETSTX,2018-08-18,3.005
GDA_TETSTX,2018-08-17,3
GDA_TETSTX,2018-08-16,3.01
GDA_TETSTX,2018-08-15,3.025
GDA_TETSTX,2018-08-14,2.945
GDA_TETSTX,2018-08-13,2.94
GDA_TETSTX,2018-08-12,2.94
GDA_TETSTX,2018-08-11,2.94
GDA_TETSTX,2018-08-10,2.965
GDA_TETSTX,2018-08-09,2.97
GDA_TETSTX,2018-08-08,2.94
GDA_TETSTX,2018-08-07,2.84
GDA_TETSTX,2018-08-06,2.85
GDA_TETSTX,2018-08-05,2.85
GDA_TETSTX,2018-08-04,2.85
GDA_TETSTX,2018-08-03,2.815
GDA_TETSTX,2018-08-02,2.795
GDA_TETSTX,2018-08-01,2.835
GDA_TETSTX,2018-07-31,2.78
GDA_TETSTX,2018-07-30,2.84
GDA_TETSTX,2018-07-29,2.84
GDA_TETSTX,2018-07-28,2.84
GDA_TETSTX,2018-07-27,2.83
GDA_TETSTX,2018-07-26,2.84
GDA_TETSTX,2018-07-25,2.81
GDA_TETSTX,2018-07-24,2.775
GDA_TETSTX,2018-07-23,2.835
GDA_TETSTX,2018-07-22,2.835
GDA_TETSTX,2018-07-21,2.835
GDA_TETSTX,2018-07-20,2.76
GDA_TETSTX,2018-07-19,2.835
GDA_TETSTX,2018-07-18,2.845
GDA_TETSTX,2018-07-17,2.81
GDA_TETSTX,2018-07-16,2.815
GDA_TETSTX,2018-07-15,2.815
GDA_TETSTX,2018-07-14,2.815
GDA_TETSTX,2018-07-13,2.815
GDA_TETSTX,2018-07-12,2.785
GDA_TETSTX,2018-07-11,2.795
GDA_TETSTX,2018-07-10,2.83
GDA_TETSTX,2018-07-09,2.86
GDA_TETSTX,2018-07-08,2.86
GDA_TETSTX,2018-07-07,2.86
GDA_TETSTX,2018-07-06,2.87
GDA_TETSTX,2018-07-05,2.88
GDA_TETSTX,2018-07-04,2.88
GDA_TETSTX,2018-07-03,2.85
GDA_TETSTX,2018-07-02,2.94
GDA_TETSTX,2018-07-01,2.94
GDA_TETSTX,2018-06-30,3.01
GDA_TETSTX,2018-06-29,3.01
GDA_TETSTX,2018-06-28,2.96
GDA_TETSTX,2018-06-27,2.94
GDA_TETSTX,2018-06-26,2.965
GDA_TETSTX,2018-06-25,2.99
GDA_TETSTX,2018-06-24,2.99
GDA_TETSTX,2018-06-23,2.99
GDA_TETSTX,2018-06-22,3.045
GDA_TETSTX,2018-06-21,3
GDA_TETSTX,2018-06-20,2.945
GDA_TETSTX,2018-06-19,3.025
GDA_TETSTX,2018-06-18,2.98
GDA_TETSTX,2018-06-17,2.98
GDA_TETSTX,2018-06-16,2.98
GDA_TETSTX,2018-06-15,2.94
GDA_TETSTX,2018-06-14,2.915
GDA_TETSTX,2018-06-13,2.975
GDA_TETSTX,2018-06-12,2.975
GDA_TETSTX,2018-06-11,2.915
GDA_TETSTX,2018-06-10,2.915
GDA_TETSTX,2018-06-09,2.915
GDA_TETSTX,2018-06-08,2.99
GDA_TETSTX,2018-06-07,2.95
GDA_TETSTX,2018-06-06,2.955
GDA_TETSTX,2018-06-05,2.98
GDA_TETSTX,2018-06-04,2.98
GDA_TETSTX,2018-06-03,2.98
GDA_TETSTX,2018-06-02,2.98
GDA_TETSTX,2018-06-01,2.96
GDA_TETSTX,2018-05-31,2.885
GDA_TETSTX,2018-05-30,2.895
GDA_TETSTX,2018-05-29,2.96
GDA_TETSTX,2018-05-28,2.96
GDA_TETSTX,2018-05-27,2.96
GDA_TETSTX,2018-05-26,2.96
GDA_TETSTX,2018-05-25,2.94
GDA_TETSTX,2018-05-24,2.93
GDA_TETSTX,2018-05-23,2.91
GDA_TETSTX,2018-05-22,2.8
GDA_TETSTX,2018-05-21,2.81
GDA_TETSTX,2018-05-20,2.81
GDA_TETSTX,2018-05-19,2.81
GDA_TETSTX,2018-05-18,2.735
GDA_TETSTX,2018-05-17,2.765
GDA_TETSTX,2018-05-16,2.8
GDA_TETSTX,2018-05-15,2.79
GDA_TETSTX,2018-05-14,2.71
GDA_TETSTX,2018-05-13,2.71
GDA_TETSTX,2018-05-12,2.71
GDA_TETSTX,2018-05-11,2.675
GDA_TETSTX,2018-05-10,2.67
GDA_TETSTX,2018-05-09,2.685
GDA_TETSTX,2018-05-08,2.695
GDA_TETSTX,2018-05-07,2.65
GDA_TETSTX,2018-05-06,2.65
GDA_TETSTX,2018-05-05,2.65
GDA_TETSTX,2018-05-04,2.64
GDA_TETSTX,2018-05-03,2.7
GDA_TETSTX,2018-05-02,2.695
GDA_TETSTX,2018-05-01,2.635
GDA_TETSTX,2018-04-30,2.67
GDA_TETSTX,2018-04-29,2.67
GDA_TETSTX,2018-04-28,2.67
GDA_TETSTX,2018-04-27,2.745
GDA_TETSTX,2018-04-26,2.71
GDA_TETSTX,2018-04-25,2.73
GDA_TETSTX,2018-04-24,2.74
GDA_TETSTX,2018-04-23,2.66
GDA_TETSTX,2018-04-22,2.66
GDA_TETSTX,2018-04-21,2.66
GDA_TETSTX,2018-04-20,2.695
GDA_TETSTX,2018-04-19,2.78
GDA_TETSTX,2018-04-18,2.75
GDA_TETSTX,2018-04-17,2.76
GDA_TETSTX,2018-04-16,2.685
GDA_TETSTX,2018-04-15,2.685
GDA_TETSTX,2018-04-14,2.685
GDA_TETSTX,2018-04-13,2.665
GDA_TETSTX,2018-04-12,2.68
GDA_TETSTX,2018-04-11,2.665
GDA_TETSTX,2018-04-10,2.645
GDA_TETSTX,2018-04-09,2.685
GDA_TETSTX,2018-04-08,2.685
GDA_TETSTX,2018-04-07,2.685
GDA_TETSTX,2018-04-06,2.7
GDA_TETSTX,2018-04-05,2.72
GDA_TETSTX,2018-04-04,2.635
GDA_TETSTX,2018-04-03,2.65
GDA_TETSTX,2018-04-02,2.705
GDA_TETSTX,2018-04-01,2.705
GDA_TETSTX,2018-03-31,2.585
GDA_TETSTX,2018-03-30,2.585
GDA_TETSTX,2018-03-29,2.585
GDA_TETSTX,2018-03-28,2.6
GDA_TETSTX,2018-03-27,2.55
GDA_TETSTX,2018-03-26,2.58
GDA_TETSTX,2018-03-25,2.58
GDA_TETSTX,2018-03-24,2.58
GDA_TETSTX,2018-03-23,2.56
GDA_TETSTX,2018-03-22,2.645
GDA_TETSTX,2018-03-21,2.64
GDA_TETSTX,2018-03-20,2.63
GDA_TETSTX,2018-03-19,2.565
GDA_TETSTX,2018-03-18,2.565
GDA_TETSTX,2018-03-17,2.565
GDA_TETSTX,2018-03-16,2.615
GDA_TETSTX,2018-03-15,2.6
GDA_TETSTX,2018-03-14,2.725
GDA_TETSTX,2018-03-13,2.735
GDA_TETSTX,2018-03-12,2.61
GDA_TETSTX,2018-03-11,2.61
GDA_TETSTX,2018-03-10,2.61
GDA_TETSTX,2018-03-09,2.635
GDA_TETSTX,2018-03-08,2.67
GDA_TETSTX,2018-03-07,2.685
GDA_TETSTX,2018-03-06,2.62
GDA_TETSTX,2018-03-05,2.56
GDA_TETSTX,2018-03-04,2.56
GDA_TETSTX,2018-03-03,2.56
GDA_TETSTX,2018-03-02,2.555
GDA_TETSTX,2018-03-01,2.53
GDA_TETSTX,2018-02-28,2.51
GDA_TETSTX,2018-02-27,2.485
GDA_TETSTX,2018-02-26,2.455
GDA_TETSTX,2018-02-25,2.455
GDA_TETSTX,2018-02-24,2.455
GDA_TETSTX,2018-02-23,2.54
GDA_TETSTX,2018-02-22,2.595
GDA_TETSTX,2018-02-21,2.525
GDA_TETSTX,2018-02-20,2.435
GDA_TETSTX,2018-02-19,2.435
GDA_TETSTX,2018-02-18,2.435
GDA_TETSTX,2018-02-17,2.435
GDA_TETSTX,2018-02-16,2.505
GDA_TETSTX,2018-02-15,2.485
GDA_TETSTX,2018-02-14,2.55
GDA_TETSTX,2018-02-13,2.555
GDA_TETSTX,2018-02-12,2.585
GDA_TETSTX,2018-02-11,2.585
GDA_TETSTX,2018-02-10,2.585
GDA_TETSTX,2018-02-09,2.69
GDA_TETSTX,2018-02-08,2.715
GDA_TETSTX,2018-02-07,2.68
GDA_TETSTX,2018-02-06,2.695
GDA_TETSTX,2018-02-05,2.765
GDA_TETSTX,2018-02-04,2.765
GDA_TETSTX,2018-02-03,2.765
GDA_TETSTX,2018-02-02,2.885
GDA_TETSTX,2018-02-01,3.1
GDA_TETSTX,2018-01-31,3.44
GDA_TETSTX,2018-01-30,3.495
GDA_TETSTX,2018-01-29,3.455
GDA_TETSTX,2018-01-28,3.455
GDA_TETSTX,2018-01-27,3.455
GDA_TETSTX,2018-01-26,3.53
GDA_TETSTX,2018-01-25,3.54
GDA_TETSTX,2018-01-24,3.395
GDA_TETSTX,2018-01-23,3.105
GDA_TETSTX,2018-01-22,3.16
GDA_TETSTX,2018-01-21,3.16
GDA_TETSTX,2018-01-20,3.16
GDA_TETSTX,2018-01-19,3.26
GDA_TETSTX,2018-01-18,3.805
GDA_TETSTX,2018-01-17,5.025
GDA_TETSTX,2018-01-16,3.705
GDA_TETSTX,2018-01-15,3.705
GDA_TETSTX,2018-01-14,3.705
GDA_TETSTX,2018-01-13,3.705
GDA_TETSTX,2018-01-12,3.165
GDA_TETSTX,2018-01-11,3.005
GDA_TETSTX,2018-01-10,2.825
GDA_TETSTX,2018-01-09,2.78
GDA_TETSTX,2018-01-08,2.81
GDA_TETSTX,2018-01-07,2.81
GDA_TETSTX,2018-01-06,2.81
GDA_TETSTX,2018-01-05,3.915
GDA_TETSTX,2018-01-04,6.045
GDA_TETSTX,2018-01-03,7.47
GDA_TETSTX,2018-01-02,3.715
GDA_TETSTX,2018-01-01,3.715
GDA_TETSTX,2017-12-31,2.885
GDA_TETSTX,2017-12-30,2.885
GDA_TETSTX,2017-12-29,2.885
GDA_TETSTX,2017-12-28,2.685
GDA_TETSTX,2017-12-27,2.655
GDA_TETSTX,2017-12-26,2.545
GDA_TETSTX,2017-12-25,2.545
GDA_TETSTX,2017-12-24,2.545
GDA_TETSTX,2017-12-23,2.545
GDA_TETSTX,2017-12-22,2.545
GDA_TETSTX,2017-12-21,2.565
GDA_TETSTX,2017-12-20,2.695
GDA_TETSTX,2017-12-19,2.66
GDA_TETSTX,2017-12-18,2.525
GDA_TETSTX,2017-12-17,2.525
GDA_TETSTX,2017-12-16,2.525
GDA_TETSTX,2017-12-15,2.595
GDA_TETSTX,2017-12-14,2.6
GDA_TETSTX,2017-12-13,2.73
GDA_TETSTX,2017-12-12,2.77
GDA_TETSTX,2017-12-11,2.695
GDA_TETSTX,2017-12-10,2.695
GDA_TETSTX,2017-12-09,2.695
GDA_TETSTX,2017-12-08,2.735
GDA_TETSTX,2017-12-07,2.855
GDA_TETSTX,2017-12-06,2.83
